192.168.99.1 - - [11/Sep/2017:10:02:17 +0000] "GET /html/AR.js/three.js/src/threex/threex-artoolkitcontext.js HTTP/1.1" 200 15882 "http://192.168.99.100:8888/html/AR.js/three.js/examples/marker-training/examples/patternmarker-from-image.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
192.168.99.1 - - [11/Sep/2017:10:02:17 +0000] "GET /html/AR.js/three.js/src/threex/threex-artoolkitprofile.js HTTP/1.1" 200 6030 "http://192.168.99.100:8888/html/AR.js/three.js/examples/marker-training/examples/patternmarker-from-image.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
192.168.99.1 - - [11/Sep/2017:10:02:17 +0000] "GET /html/AR.js/three.js/src/threex/threex-arbasecontrols.js HTTP/1.1" 200 1100 "http://192.168.99.100:8888/html/AR.js/three.js/examples/marker-training/examples/patternmarker-from-image.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
192.168.99.1 - - [11/Sep/2017:10:02:17 +0000] "GET /html/AR.js/three.js/src/threex/threex-armarkercontrols.js HTTP/1.1" 200 9171 "http://192.168.99.100:8888/html/AR.js/three.js/examples/marker-training/examples/patternmarker-from-image.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
192.168.99.1 - - [11/Sep/2017:10:02:17 +0000] "GET /html/AR.js/data/data/camera_para.dat HTTP/1.1" 200 176 "http://192.168.99.100:8888/html/AR.js/three.js/examples/marker-training/examples/patternmarker-from-image.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
192.168.99.1 - - [11/Sep/2017:10:02:18 +0000] "GET /html/AR.js/three.js/examples/marker-training/examples/inner-images/inner-hiro.png HTTP/1.1" 200 12240 "http://192.168.99.100:8888/html/AR.js/three.js/examples/marker-training/examples/patternmarker-from-image.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
192.168.99.1 - - [11/Sep/2017:10:03:36 +0000] "\x16\x03\x01\x00\xAE\x01\x00\x00\xAA\x03\x03\x82br!\xC9\x86\xAC\xB5\xEF\x9D,\x99{\xB5w\xD8v\x91\x03\xE1zi\x0FV;?\x0F\x84\xD43\xAD\xCC\x00\x00\x1C\x8A\x8A\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x00" 400 166 "-" "-"
192.168.99.1 - - [11/Sep/2017:10:03:36 +0000] "\x16\x03\x01\x00\xAE\x01\x00\x00\xAA\x03\x03\x8F'T\xC4\x07\xF1)\xEEU=#y\x9F\xA2tp|h\x1D\x99\x19R1\x7FeMv\xCA\xCF\x89\xD9a\x00\x00\x1C\x8A\x8A\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x00" 400 166 "-" "-"
192.168.99.1 - - [11/Sep/2017:10:03:36 +0000] "\x16\x03\x01\x00\xAE\x01\x00\x00\xAA\x03\x03U\x9E\xDC\x9F\x10\x06g\xCE\xFD\x94" 400 166 "-" "-"
192.168.99.1 - - [11/Sep/2017:10:09:52 +0000] "GET / HTTP/1.1" 200 199 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Kitematic/0.17.0 Chrome/45.0.2454.85 Electron/0.35.4 Safari/537.36"
